CarName, KPL
"Mazda RX4",8.9
"Mazda RX4 Wag",8.9
"Datsun 710",9.6
"Hornet 4 Drive",9.1
"Hornet Sportabout",7.9
"Valiant",7.6
"Duster 360",6
"Merc 240D",10.3
"Merc 230",9.6
"Merc 280",8.1
"Merc 280C",7.5
"Merc 450SE",6.9
"Merc 450SL",7.3
"Merc 450SLC",6.4
"Cadillac Fleetwood",4.4
"Lincoln Continental",4.4
"Chrysler Imperial",6.2
"Fiat 128",13.7
"Honda Civic",12.9
"Toyota Corolla",14.4
"Toyota Corona",9.1
"Dodge Challenger",6.5
"AMC Javelin",6.4
"Camaro Z28",5.6
"Pontiac Firebird",8.1
"Fiat X1-9",11.6
"Porsche 914-2",11
"Lotus Europa",12.9
"Ford Pantera L",6.7
"Ferrari Dino",8.3
"Maserati Bora",6.3
"Volvo 142E",9.1
